Sex,Race/Ethnicity,Age,Stage at Diagnosis,Survival Time,Survival Rate (%),Survival Rate Standard Error,Survival Rate Lower Confidence Interval,Survival Rate Upper Confidence Interval
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,Diagnosis,100,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,1 year,80.4465,0.2208,80.0095,80.8752
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,2 years,72.8495,0.2534,72.349,73.3426
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,3 years,67.9138,0.2736,67.3741,68.4468
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,4 years,64.6535,0.2889,64.0841,65.2164
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,5 years,62.3315,0.3025,61.7356,62.9211
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,6 years,60.5135,0.316,59.8909,61.1298
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,7 years,58.6581,0.3318,58.0047,59.3052
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,8 years,57.2667,0.3482,56.5811,57.9459
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,9 years,56.189,0.3665,55.4673,56.9039
Female,Asian / Pacific Islander (includes Hispanic),Ages 65-74,All Stages,10 years,55.3487,0.3877,54.5852,56.105
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,Diagnosis,100,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,1 year,61.4469,0.2731,60.9091,61.9798
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,2 years,52.5595,0.2918,51.9859,53.1296
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,3 years,47.6107,0.3052,47.0113,48.2076
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,4 years,44.3207,0.3187,43.6951,44.9443
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,5 years,41.6963,0.3339,41.0412,42.3499
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,6 years,39.9734,0.3517,39.2836,40.6621
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,7 years,38.3068,0.3726,37.5762,39.0368
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,8 years,36.7698,0.3978,35.9902,37.5495
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,9 years,35.365,0.4278,34.5269,36.2037
Female,Asian / Pacific Islander (includes Hispanic),Ages 75+,All Stages,10 years,34.4201,0.465,33.5096,35.3322
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,Diagnosis,100,-,-,-
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,1 year,92.2671,0.5741,91.0602,93.3171
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,2 years,87.0267,0.7327,85.5151,88.3914
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,3 years,83.9929,0.8108,82.3309,85.5125
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,4 years,82.8271,0.8413,81.106,84.4068
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,5 years,81.7149,0.8732,79.9314,83.3568
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,6 years,80.4773,0.9111,78.6191,82.1928
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,7 years,79.9117,0.9305,78.0148,81.6647
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,8 years,79.5397,0.9459,77.612,81.322
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,9 years,79.0281,0.9685,77.0548,80.8534
Female,Asian / Pacific Islander (includes Hispanic),Ages < 20,All Stages,10 years,78.9074,0.9762,76.9183,80.7472
Female,Black (includes Hispanic),All Ages,All Stages,Diagnosis,100,-,-,-
Female,Black (includes Hispanic),All Ages,All Stages,1 year,76.4103,0.0876,76.2381,76.5815
Female,Black (includes Hispanic),All Ages,All Stages,2 years,67.972,0.0988,67.7778,68.1653
Female,Black (includes Hispanic),All Ages,All Stages,3 years,63.0883,0.1054,62.8814,63.2944
Female,Black (includes Hispanic),All Ages,All Stages,4 years,59.7936,0.1105,59.5766,60.0098
Female,Black (includes Hispanic),All Ages,All Stages,5 years,57.3642,0.1153,57.1379,57.5898
Female,Black (includes Hispanic),All Ages,All Stages,6 years,55.4293,0.1201,55.1937,55.6643
Female,Black (includes Hispanic),All Ages,All Stages,7 years,53.795,0.1251,53.5494,54.0398
Female,Black (includes Hispanic),All Ages,All Stages,8 years,52.5367,0.1305,52.2807,52.7921
Female,Black (includes Hispanic),All Ages,All Stages,9 years,51.3695,0.1365,51.1016,51.6367
Female,Black (includes Hispanic),All Ages,All Stages,10 years,50.2784,0.1434,49.997,50.5591
Female,Black (includes Hispanic),Ages < 50,All Stages,Diagnosis,100,-,-,-
Female,Black (includes Hispanic),Ages < 50,All Stages,1 year,88.6975,0.1309,88.4382,88.9514
Female,Black (includes Hispanic),Ages < 50,All Stages,2 years,81.472,0.1627,81.1507,81.7883
Female,Black (includes Hispanic),Ages < 50,All Stages,3 years,76.9757,0.1792,76.6222,77.3247
Female,Black (includes Hispanic),Ages < 50,All Stages,4 years,73.8419,0.1904,73.4666,74.2128
Female,Black (includes Hispanic),Ages < 50,All Stages,5 years,71.5792,0.1989,71.1873,71.967
Female,Black (includes Hispanic),Ages < 50,All Stages,6 years,69.8031,0.2064,69.3965,70.2056
Female,Black (includes Hispanic),Ages < 50,All Stages,7 years,68.3108,0.2136,67.89,68.7274
Female,Black (includes Hispanic),Ages < 50,All Stages,8 years,67.1625,0.2203,66.7286,67.5922
Female,Black (includes Hispanic),Ages < 50,All Stages,9 years,66.0431,0.2279,65.5943,66.4876
Female,Black (includes Hispanic),Ages < 50,All Stages,10 years,65.0495,0.236,64.5848,65.5099
Female,Black (includes Hispanic),Ages 50-64,All Stages,Diagnosis,100,-,-,-
Female,Black (includes Hispanic),Ages 50-64,All Stages,1 year,80.4851,0.1347,80.2195,80.7475
Female,Black (includes Hispanic),Ages 50-64,All Stages,2 years,71.6828,0.1562,71.3754,71.9877
Female,Black (includes Hispanic),Ages 50-64,All Stages,3 years,66.5337,0.1678,66.2036,66.8614
Female,Black (includes Hispanic),Ages 50-64,All Stages,4 years,63.1249,0.1763,62.7783,63.4693
Female,Black (includes Hispanic),Ages 50-64,All Stages,5 years,60.5221,0.1839,60.1607,60.8815
Female,Black (includes Hispanic),Ages 50-64,All Stages,6 years,58.544,0.1913,58.168,58.9178
Female,Black (includes Hispanic),Ages 50-64,All Stages,7 years,56.8656,0.1991,56.4744,57.2547
Female,Black (includes Hispanic),Ages 50-64,All Stages,8 years,55.5596,0.2073,55.1524,55.9648
Female,Black (includes Hispanic),Ages 50-64,All Stages,9 years,54.411,0.2166,53.9855,54.8344
Female,Black (includes Hispanic),Ages 50-64,All Stages,10 years,53.3036,0.2276,52.8565,53.7485
Female,Black (includes Hispanic),Ages 65+,All Stages,Diagnosis,100,-,-,-
Female,Black (includes Hispanic),Ages 65+,All Stages,1 year,65.5954,0.1565,65.2878,65.901
Female,Black (includes Hispanic),Ages 65+,All Stages,2 years,56.6887,0.1703,56.3542,57.0217
Female,Black (includes Hispanic),Ages 65+,All Stages,3 years,51.7354,0.18,51.382,52.0875
Female,Black (includes Hispanic),Ages 65+,All Stages,4 years,48.3612,0.1892,47.9898,48.7315
Female,Black (includes Hispanic),Ages 65+,All Stages,5 years,45.8974,0.1991,45.5068,46.2871
Female,Black (includes Hispanic),Ages 65+,All Stages,6 years,43.7954,0.2099,43.3836,44.2065
Female,Black (includes Hispanic),Ages 65+,All Stages,7 years,41.9931,0.2222,41.5573,42.4282
Female,Black (includes Hispanic),Ages 65+,All Stages,8 years,40.5924,0.2364,40.1288,41.0554
Female,Black (includes Hispanic),Ages 65+,All Stages,9 years,39.2481,0.253,38.7521,39.7438
Female,Black (includes Hispanic),Ages 65+,All Stages,10 years,37.9504,0.2727,37.4159,38.4847
Female,Black (includes Hispanic),Ages <15,All Stages,Diagnosis,100,-,-,-
Female,Black (includes Hispanic),Ages <15,All Stages,1 year,90.3133,0.609,89.0478,91.4397
Female,Black (includes Hispanic),Ages <15,All Stages,2 years,83.3743,0.772,81.7981,84.8269
Female,Black (includes Hispanic),Ages <15,All Stages,3 years,79.6085,0.8454,77.8925,81.2079
Female,Black (includes Hispanic),Ages <15,All Stages,4 years,78.0857,0.8748,76.3133,79.7437
Female,Black (includes Hispanic),Ages <15,All Stages,5 years,76.8106,0.9011,74.9872,78.5207
Female,Black (includes Hispanic),Ages <15,All Stages,6 years,76.3154,0.9134,74.4679,78.0495
Female,Black (includes Hispanic),Ages <15,All Stages,7 years,75.4839,0.9359,73.5921,77.2619
Female,Black (includes Hispanic),Ages <15,All Stages,8 years,75.0959,0.9487,73.1787,76.8986
Female,Black (includes Hispanic),Ages <15,All Stages,9 years,74.4875,0.9708,72.5262,76.3325
Female,Black (includes Hispanic),Ages <15,All Stages,10 years,73.6834,1.0036,71.6562,75.5911
Female,Black (includes Hispanic),Ages 15-39,All Stages,Diagnosis,100,-,-,-
Female,Black (includes Hispanic),Ages 15-39,All Stages,1 year,91.2539,0.2005,90.8524,91.6387
Female,Black (includes Hispanic),Ages 15-39,All Stages,2 years,84.5864,0.2594,84.0702,85.0873
Female,Black (includes Hispanic),Ages 15-39,All Stages,3 years,80.3837,0.2898,79.8085,80.9446
Female,Black (includes Hispanic),Ages 15-39,All Stages,4 years,77.4711,0.3098,76.857,78.0713
Female,Black (includes Hispanic),Ages 15-39,All Stages,5 years,75.4701,0.324,74.8283,76.0982
Female,Black (includes Hispanic),Ages 15-39,All Stages,6 years,73.666,0.3377,72.9974,74.3211
Female,Black (includes Hispanic),Ages 15-39,All Stages,7 years,72.2074,0.35,71.5147,72.8866
Female,Black (includes Hispanic),Ages 15-39,All Stages,8 years,71.1833,0.3602,70.4706,71.8825
Female,Black (includes Hispanic),Ages 15-39,All Stages,9 years,70.2635,0.3709,69.5297,70.9836
Female,Black (includes Hispanic),Ages 15-39,All Stages,10 years,69.3491,0.3832,68.5911,70.0931
Female,Black (includes Hispanic),Ages 40-64,All Stages,Diagnosis,100,-,-,-
Female,Black (includes Hispanic),Ages 40-64,All Stages,1 year,82.4525,0.1085,82.2386,82.6641
Female,Black (includes Hispanic),Ages 40-64,All Stages,2 years,74.0235,0.1274,73.7729,74.2723
Female,Black (includes Hispanic),Ages 40-64,All Stages,3 years,69.013,0.1374,68.7427,69.2815
Female,Black (includes Hispanic),Ages 40-64,All Stages,4 years,65.625,0.1446,65.3406,65.9076
Female,Black (includes Hispanic),Ages 40-64,All Stages,5 years,63.0693,0.1509,62.7728,63.3641
Female,Black (includes Hispanic),Ages 40-64,All Stages,6 years,61.1399,0.1566,60.8321,61.4461
Female,Black (includes Hispanic),Ages 40-64,All Stages,7 years,59.5081,0.1626,59.1886,59.826
Female,Black (includes Hispanic),Ages 40-64,All Stages,8 years,58.2217,0.1687,57.8902,58.5516
Female,Black (includes Hispanic),Ages 40-64,All Stages,9 years,57.0408,0.1757,56.6956,57.3843
Female,Black (includes Hispanic),Ages 40-64,All Stages,10 years,55.9596,0.1836,55.5988,56.3187
Female,Black (includes Hispanic),Ages 65-74,All Stages,Diagnosis,100,-,-,-
Female,Black (includes Hispanic),Ages 65-74,All Stages,1 year,72.7824,0.2002,72.3878,73.1725
Female,Black (includes Hispanic),Ages 65-74,All Stages,2 years,63.8917,0.2229,63.453,64.3268
Female,Black (includes Hispanic),Ages 65-74,All Stages,3 years,58.7599,0.237,58.2938,59.2228
Female,Black (includes Hispanic),Ages 65-74,All Stages,4 years,55.1546,0.2492,54.6648,55.6415
Female,Black (includes Hispanic),Ages 65-74,All Stages,5 years,52.6466,0.2611,52.1335,53.157
Female,Black (includes Hispanic),Ages 65-74,All Stages,6 years,50.5103,0.274,49.972,51.046
Female,Black (includes Hispanic),Ages 65-74,All Stages,7 years,48.5964,0.2885,48.0298,49.1605
Female,Black (includes Hispanic),Ages 65-74,All Stages,8 years,47.1215,0.3048,46.5228,47.7176
Female,Black (includes Hispanic),Ages 65-74,All Stages,9 years,45.7537,0.324,45.1176,46.3874
Female,Black (includes Hispanic),Ages 65-74,All Stages,10 years,44.6217,0.3464,43.9416,45.2993
Female,Black (includes Hispanic),Ages 75+,All Stages,Diagnosis,100,-,-,-
Female,Black (includes Hispanic),Ages 75+,All Stages,1 year,57.7973,0.238,57.3292,58.2623
Female,Black (includes Hispanic),Ages 75+,All Stages,2 years,48.8267,0.2551,48.3257,49.3257
Female,Black (includes Hispanic),Ages 75+,All Stages,3 years,44.0356,0.2695,43.5068,44.5631
Female,Black (includes Hispanic),Ages 75+,All Stages,4 years,40.8887,0.285,40.3296,41.4468
Female,Black (includes Hispanic),Ages 75+,All Stages,5 years,38.4241,0.3028,37.8305,39.0172
Female,Black (includes Hispanic),Ages 75+,All Stages,6 years,36.3041,0.323,35.6711,36.9371
Female,Black (includes Hispanic),Ages 75+,All Stages,7 years,34.5861,0.3466,33.9071,35.2659
Female,Black (includes Hispanic),Ages 75+,All Stages,8 years,33.2252,0.3751,32.4909,33.961
Female,Black (includes Hispanic),Ages 75+,All Stages,9 years,31.8383,0.4085,31.039,32.6402
Female,Black (includes Hispanic),Ages 75+,All Stages,10 years,30.1832,0.4484,29.3066,31.064
Female,Black (includes Hispanic),Ages < 20,All Stages,Diagnosis,100,-,-,-
Female,Black (includes Hispanic),Ages < 20,All Stages,1 year,90.8425,0.4992,89.8131,91.7727
Female,Black (includes Hispanic),Ages < 20,All Stages,2 years,84.1141,0.6371,82.8202,85.3194
Female,Black (includes Hispanic),Ages < 20,All Stages,3 years,80.4742,0.699,79.0616,81.8027
Female,Black (includes Hispanic),Ages < 20,All Stages,4 years,78.7321,0.7281,77.2635,80.1185
Female,Black (includes Hispanic),Ages < 20,All Stages,5 years,77.6479,0.7478,76.141,79.0731
Female,Black (includes Hispanic),Ages < 20,All Stages,6 years,76.8784,0.7637,75.3404,78.3347
Female,Black (includes Hispanic),Ages < 20,All Stages,7 years,75.8261,0.7873,74.2416,77.3286
Female,Black (includes Hispanic),Ages < 20,All Stages,8 years,75.1971,0.8036,73.5803,76.7311
Female,Black (includes Hispanic),Ages < 20,All Stages,9 years,74.7908,0.8164,73.1487,76.3494
Female,Black (includes Hispanic),Ages < 20,All Stages,10 years,74.1786,0.8378,72.4935,75.7783
Female,Hispanic (any race),All Ages,All Stages,Diagnosis,100,-,-,-
Female,Hispanic (any race),All Ages,All Stages,1 year,82.4399,0.0776,82.2873,82.5914
Female,Hispanic (any race),All Ages,All Stages,2 years,76.0399,0.0893,75.8644,76.2143
Female,Hispanic (any race),All Ages,All Stages,3 years,72.1317,0.0964,71.9422,72.3201
Female,Hispanic (any race),All Ages,All Stages,4 years,69.4248,0.1019,69.2246,69.6241
Female,Hispanic (any race),All Ages,All Stages,5 years,67.2817,0.107,67.0715,67.491
Female,Hispanic (any race),All Ages,All Stages,6 years,65.5036,0.112,65.2835,65.7227
Female,Hispanic (any race),All Ages,All Stages,7 years,64.0148,0.1172,63.7846,64.2439
Female,Hispanic (any race),All Ages,All Stages,8 years,62.7378,0.1226,62.4969,62.9775
Female,Hispanic (any race),All Ages,All Stages,9 years,61.5508,0.1287,61.2981,61.8025
Female,Hispanic (any race),All Ages,All Stages,10 years,60.5342,0.1354,60.2683,60.799
Female,Hispanic (any race),Ages < 50,All Stages,Diagnosis,100,-,-,-
Female,Hispanic (any race),Ages < 50,All Stages,1 year,92.8445,0.0888,92.6683,93.0166
Female,Hispanic (any race),Ages < 50,All Stages,2 years,87.949,0.1144,87.7228,88.1713
Female,Hispanic (any race),Ages < 50,All Stages,3 years,84.6838,0.1292,84.4287,84.9351
Female,Hispanic (any race),Ages < 50,All Stages,4 years,82.435,0.1392,82.1602,82.706
Female,Hispanic (any race),Ages < 50,All Stages,5 years,80.678,0.1474,80.3871,80.9651
Female,Hispanic (any race),Ages < 50,All Stages,6 years,79.1678,0.1551,78.8619,79.4699
Female,Hispanic (any race),Ages < 50,All Stages,7 years,78.0221,0.1617,77.7032,78.3371
Female,Hispanic (any race),Ages < 50,All Stages,8 years,76.9806,0.1685,76.6482,77.3089
Female,Hispanic (any race),Ages < 50,All Stages,9 years,75.9946,0.176,75.6476,76.3374
Female,Hispanic (any race),Ages < 50,All Stages,10 years,75.1518,0.1835,74.7899,75.5094
Female,Hispanic (any race),Ages 50-64,All Stages,Diagnosis,100,-,-,-
Female,Hispanic (any race),Ages 50-64,All Stages,1 year,86.2817,0.1232,86.0383,86.5213
Female,Hispanic (any race),Ages 50-64,All Stages,2 years,79.8369,0.1468,79.5474,80.1229
Female,Hispanic (any race),Ages 50-64,All Stages,3 years,75.8518,0.1605,75.5355,76.1647
Female,Hispanic (any race),Ages 50-64,All Stages,4 years,72.994,0.1708,72.6574,73.3272
Female,Hispanic (any race),Ages 50-64,All Stages,5 years,70.5815,0.1804,70.2262,70.9335
Female,Hispanic (any race),Ages 50-64,All Stages,6 years,68.709,0.1891,68.3366,69.078
Female,Hispanic (any race),Ages 50-64,All Stages,7 years,67.1194,0.1979,66.7298,67.5055
Female,Hispanic (any race),Ages 50-64,All Stages,8 years,65.7442,0.2071,65.3366,66.1482
Female,Hispanic (any race),Ages 50-64,All Stages,9 years,64.584,0.2168,64.1573,65.0071
Female,Hispanic (any race),Ages 50-64,All Stages,10 years,63.4937,0.2282,63.0446,63.9391
Female,Hispanic (any race),Ages 65+,All Stages,Diagnosis,100,-,-,-
Female,Hispanic (any race),Ages 65+,All Stages,1 year,68.6359,0.1631,68.315,68.9543
Female,Hispanic (any race),Ages 65+,All Stages,2 years,60.7621,0.1779,60.4124,61.1098
Female,Hispanic (any race),Ages 65+,All Stages,3 years,56.2437,0.188,55.8743,56.6113
Female,Hispanic (any race),Ages 65+,All Stages,4 years,53.1655,0.1973,52.778,53.5514
Female,Hispanic (any race),Ages 65+,All Stages,5 years,50.8258,0.207,50.4194,51.2307
Female,Hispanic (any race),Ages 65+,All Stages,6 years,48.7938,0.2177,48.3665,49.2196
Female,Hispanic (any race),Ages 65+,All Stages,7 years,46.9577,0.2297,46.5067,47.4072
Female,Hispanic (any race),Ages 65+,All Stages,8 years,45.4412,0.2434,44.9634,45.9176
Female,Hispanic (any race),Ages 65+,All Stages,9 years,43.9115,0.2595,43.4023,44.4194
Female,Hispanic (any race),Ages 65+,All Stages,10 years,42.6843,0.278,42.1388,43.2286
Female,Hispanic (any race),Ages <15,All Stages,Diagnosis,100,-,-,-
Female,Hispanic (any race),Ages <15,All Stages,1 year,91.9042,0.3558,91.1775,92.5735
Female,Hispanic (any race),Ages <15,All Stages,2 years,86.3877,0.4537,85.4714,87.2506
Female,Hispanic (any race),Ages <15,All Stages,3 years,83.8341,0.4928,82.8418,84.7744
Female,Hispanic (any race),Ages <15,All Stages,4 years,81.9476,0.5215,80.8994,82.9444
Female,Hispanic (any race),Ages <15,All Stages,5 years,80.729,0.5409,79.6431,81.7638
Female,Hispanic (any race),Ages <15,All Stages,6 years,79.9622,0.5546,78.8493,81.0238
Female,Hispanic (any race),Ages <15,All Stages,7 years,79.4354,0.5651,78.3018,80.5175
Female,Hispanic (any race),Ages <15,All Stages,8 years,79.0073,0.575,77.8541,80.1084
Female,Hispanic (any race),Ages <15,All Stages,9 years,78.5526,0.5872,77.375,79.6772
Female,Hispanic (any race),Ages <15,All Stages,10 years,77.9936,0.6039,76.7826,79.1502
Female,Hispanic (any race),Ages 15-39,All Stages,Diagnosis,100,-,-,-
Female,Hispanic (any race),Ages 15-39,All Stages,1 year,93.855,0.13,93.5951,94.1048
Female,Hispanic (any race),Ages 15-39,All Stages,2 years,89.1618,0.1717,88.8203,89.4935
Female,Hispanic (any race),Ages 15-39,All Stages,3 years,86.0259,0.1955,85.6378,86.4043
Female,Hispanic (any race),Ages 15-39,All Stages,4 years,83.941,0.211,83.5225,84.3498
Female,Hispanic (any race),Ages 15-39,All Stages,5 years,82.2692,0.224,81.8253,82.7034
Female,Hispanic (any race),Ages 15-39,All Stages,6 years,80.9357,0.2352,80.4699,81.3918
Female,Hispanic (any race),Ages 15-39,All Stages,7 years,79.8347,0.2455,79.3486,80.3108
Female,Hispanic (any race),Ages 15-39,All Stages,8 years,78.8644,0.2557,78.3581,79.3605
Female,Hispanic (any race),Ages 15-39,All Stages,9 years,78.0607,0.2657,77.5347,78.5762
Female,Hispanic (any race),Ages 15-39,All Stages,10 years,77.2495,0.2773,76.7004,77.7876
Female,Hispanic (any race),Ages 40-64,All Stages,Diagnosis,100,-,-,-
Female,Hispanic (any race),Ages 40-64,All Stages,1 year,88.4093,0.0916,88.2284,88.5876
Female,Hispanic (any race),Ages 40-64,All Stages,2 years,82.4973,0.111,82.2785,82.7137
Female,Hispanic (any race),Ages 40-64,All Stages,3 years,78.7043,0.1225,78.4632,78.9432
Female,Hispanic (any race),Ages 40-64,All Stages,4 years,76.0071,0.1308,75.7495,76.2624
Female,Hispanic (any race),Ages 40-64,All Stages,5 years,73.7866,0.1383,73.5144,74.0565
Female,Hispanic (any race),Ages 40-64,All Stages,6 years,71.9621,0.1452,71.6763,72.2456
Female,Hispanic (any race),Ages 40-64,All Stages,7 years,70.4948,0.1518,70.196,70.7911
Female,Hispanic (any race),Ages 40-64,All Stages,8 years,69.1936,0.1587,68.8814,69.5035
Female,Hispanic (any race),Ages 40-64,All Stages,9 years,68.0205,0.1662,67.6936,68.345
Female,Hispanic (any race),Ages 40-64,All Stages,10 years,67.0017,0.1743,66.6587,67.3421
Female,Hispanic (any race),Ages 65-74,All Stages,Diagnosis,100,-,-,-
Female,Hispanic (any race),Ages 65-74,All Stages,1 year,76.7519,0.2026,76.352,77.1462
Female,Hispanic (any race),Ages 65-74,All Stages,2 years,69.2458,0.2274,68.7977,69.689
Female,Hispanic (any race),Ages 65-74,All Stages,3 years,64.8871,0.2425,64.4095,65.3601
Female,Hispanic (any race),Ages 65-74,All Stages,4 years,61.8281,0.2553,61.3256,62.3262
Female,Hispanic (any race),Ages 65-74,All Stages,5 years,59.5199,0.2675,58.9935,60.042
Female,Hispanic (any race),Ages 65-74,All Stages,6 years,57.3599,0.2809,56.8072,57.9083
Female,Hispanic (any race),Ages 65-74,All Stages,7 years,55.6663,0.295,55.0859,56.2423
Female,Hispanic (any race),Ages 65-74,All Stages,8 years,53.9801,0.3117,53.367,54.5889
Female,Hispanic (any race),Ages 65-74,All Stages,9 years,52.5161,0.3305,51.8662,53.1616
Female,Hispanic (any race),Ages 65-74,All Stages,10 years,51.1748,0.3524,50.4819,51.8631
Female,Hispanic (any race),Ages 75+,All Stages,Diagnosis,100,-,-,-
Female,Hispanic (any race),Ages 75+,All Stages,1 year,59.7219,0.2524,59.2254,60.2146
Female,Hispanic (any race),Ages 75+,All Stages,2 years,51.4034,0.2697,50.8734,51.9307
Female,Hispanic (any race),Ages 75+,All Stages,3 years,46.6677,0.2835,46.1109,47.2223
Female,Hispanic (any race),Ages 75+,All Stages,4 years,43.5315,0.2979,42.9469,44.1146
Female,Hispanic (any race),Ages 75+,All Stages,5 years,41.1102,0.3142,40.4938,41.7255
Female,Hispanic (any race),Ages 75+,All Stages,6 years,39.1858,0.3334,38.532,39.8389
Female,Hispanic (any race),Ages 75+,All Stages,7 years,37.0972,0.3557,36.4,37.7942
Female,Hispanic (any race),Ages 75+,All Stages,8 years,35.747,0.3822,34.9983,36.4962
Female,Hispanic (any race),Ages 75+,All Stages,9 years,34.0334,0.414,33.2228,34.8454
Female,Hispanic (any race),Ages 75+,All Stages,10 years,32.885,0.4529,31.9986,33.7738
Female,Hispanic (any race),Ages < 20,All Stages,Diagnosis,100,-,-,-
Female,Hispanic (any race),Ages < 20,All Stages,1 year,92.1028,0.3005,91.4923,92.6713
Female,Hispanic (any race),Ages < 20,All Stages,2 years,87.0318,0.3795,86.268,87.7563
Female,Hispanic (any race),Ages < 20,All Stages,3 years,84.3872,0.4153,83.5538,85.1822
Female,Hispanic (any race),Ages < 20,All Stages,4 years,82.4925,0.4407,81.6095,83.3374
Female,Hispanic (any race),Ages < 20,All Stages,5 years,81.2575,0.458,80.3408,82.1364
Female,Hispanic (any race),Ages < 20,All Stages,6 years,80.5033,0.4699,79.563,81.4055
Female,Hispanic (any race),Ages < 20,All Stages,7 years,79.9868,0.4792,79.0284,80.907
Female,Hispanic (any race),Ages < 20,All Stages,8 years,79.4743,0.4897,78.495,80.4148
Female,Hispanic (any race),Ages < 20,All Stages,9 years,79.1115,0.4986,78.1144,80.0691
Female,Hispanic (any race),Ages < 20,All Stages,10 years,78.6294,0.5117,77.6061,79.6123
Female,Non-Hispanic White,All Ages,All Stages,Diagnosis,100,-,-,-
Female,Non-Hispanic White,All Ages,All Stages,1 year,80.4226,0.0318,80.3602,80.4847
Female,Non-Hispanic White,All Ages,All Stages,2 years,74.4834,0.0361,74.4127,74.554
Female,Non-Hispanic White,All Ages,All Stages,3 years,71.0635,0.0388,70.9873,71.1395
Female,Non-Hispanic White,All Ages,All Stages,4 years,68.7887,0.0411,68.7079,68.8692
Female,Non-Hispanic White,All Ages,All Stages,5 years,67.037,0.0434,66.9519,67.1219
Female,Non-Hispanic White,All Ages,All Stages,6 years,65.646,0.0456,65.5566,65.7352
Female,Non-Hispanic White,All Ages,All Stages,7 years,64.4969,0.0479,64.403,64.5907
Female,Non-Hispanic White,All Ages,All Stages,8 years,63.4605,0.0504,63.3616,63.5592
Female,Non-Hispanic White,All Ages,All Stages,9 years,62.5443,0.0532,62.4399,62.6484
Female,Non-Hispanic White,All Ages,All Stages,10 years,61.7086,0.0563,61.5982,61.8189
Female,Non-Hispanic White,Ages < 50,All Stages,Diagnosis,100,-,-,-
Female,Non-Hispanic White,Ages < 50,All Stages,1 year,94.4316,0.0416,94.3494,94.5126
Female,Non-Hispanic White,Ages < 50,All Stages,2 years,90.6301,0.0535,90.5247,90.7344
Female,Non-Hispanic White,Ages < 50,All Stages,3 years,88.1373,0.0603,88.0186,88.2549
Female,Non-Hispanic White,Ages < 50,All Stages,4 years,86.3239,0.065,86.1958,86.4508
Female,Non-Hispanic White,Ages < 50,All Stages,5 years,84.8933,0.0689,84.7576,85.0278
Female,Non-Hispanic White,Ages < 50,All Stages,6 years,83.7286,0.0723,83.5864,83.8698
Female,Non-Hispanic White,Ages < 50,All Stages,7 years,82.7384,0.0754,82.5899,82.8857
Female,Non-Hispanic White,Ages < 50,All Stages,8 years,81.839,0.0786,81.6843,81.9925
Female,Non-Hispanic White,Ages < 50,All Stages,9 years,81.0355,0.0819,80.8745,81.1953
Female,Non-Hispanic White,Ages < 50,All Stages,10 years,80.3699,0.0851,80.2026,80.536
Female,Non-Hispanic White,Ages 50-64,All Stages,Diagnosis,100,-,-,-
Female,Non-Hispanic White,Ages 50-64,All Stages,1 year,87.2193,0.0463,87.1282,87.3097
Female,Non-Hispanic White,Ages 50-64,All Stages,2 years,81.4694,0.0548,81.3616,81.5766
Female,Non-Hispanic White,Ages 50-64,All Stages,3 years,78.0049,0.0597,77.8876,78.1216
Female,Non-Hispanic White,Ages 50-64,All Stages,4 years,75.6386,0.0633,75.5143,75.7624
Female,Non-Hispanic White,Ages 50-64,All Stages,5 years,73.8218,0.0664,73.6913,73.9517
Female,Non-Hispanic White,Ages 50-64,All Stages,6 years,72.4113,0.0693,72.2751,72.5469
Female,Non-Hispanic White,Ages 50-64,All Stages,7 years,71.2719,0.0722,71.13,71.4132
